EventId,EventTemplate,Occurrences
52080ac3,at org.apache.maven.lifecycle.internal.LifecycleModuleBuilder.buildProject(LifecycleModuleBuilder.java:*),49
54544c79,at org.apache.maven.DefaultMaven.execute(DefaultMaven.java:*),30
9e44f8c9,at org.apache.maven.cli.MavenCli.main(MavenCli.java:*),27
c91a5af4,at org.codehaus.plexus.classworlds.launcher.Launcher.launch(Launcher.java:*),30
6ad7ca84,at org.sonatype.aether.impl.internal.DefaultArtifactResolver.resolve(DefaultArtifactResolver.java:*),18
cfbbb421,at org.apache.thrift.protocol.TBinaryProtocol.readI*(TBinaryProtocol.java:*),26
b00b7fd8,at org.apache.hadoop.fs.RawLocalFileSystem.pathToFile(RawLocalFileSystem.java:*),21
bbc4bee4,at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getAdditionalBlock(FSNamesystem.java:*),69
ef7b79ba,The not,24
543ac659,at org.apache.hadoop.util.ProgramDriver.driver(ProgramDriver.java:*),37
14d5c726,at org.apache.sqoop.mapreduce.db.DBRecordReader.nextKeyValue(DBRecordReader.java:*),25
1f0b6c96,at org.apache.oozie.command.XCommand.call(XCommand.java:*),21
0c1dbc69,SERVER USER GROUP TOKEN APP JOB ACTION,42
052dd749,at org.apache.catalina.loader.WebappClassLoader.loadClass(WebappClassLoader.java:*),38
8325c3bf,at org.apache.hadoop.hbase.client.ScannerCallableWithReplicas.call(ScannerCallableWithReplicas.java:*),25
7e5f2826,at org.apache.hadoop.fs.FileSystem.listStatus(FileSystem.java:*),24
b959b194,at java.lang.Integer.parseInt(Integer.java:*),77
7833c361,at com.sun.jersey.server.impl.uri.rules.RootResourceClassesRule.accept(RootResourceClassesRule.java:*),19
900d41bb,at com.sun.jersey.spi.container.servlet.WebComponent.service(WebComponent.java:*),22
5ef6f3ca,at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:*),23
361bf70d,at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:*),20
1aa8d916,Native library checking:,30
6a3166a8,at com.amazonaws.services.s*.AmazonS*Client.invoke(AmazonS*Client.java:*),19
1d8adbf3,true *.*,24
6ed89128,at org.apache.hadoop.tools.mapred.CopyMapper.map(CopyMapper.java:*),20
f1b0ab39,at java.io.BufferedOutputStream.write(BufferedOutputStream.java:*),27
14dcb473,to start,28
262f99d5,at org.apache.avro.generic.GenericDatumReader.read(GenericDatumReader.java:*),28
82fcf9af,Name node is in,61
8a5bdb3d,at org.apache.thrift.transport.TIOStreamTransport.read(TIOStreamTransport.java:*),25
4a832993,at org.apache.thrift.protocol.TBinaryProtocol.readAll(TBinaryProtocol.java:*),30
a7fbf06b,at org.apache.thrift.protocol.TBinaryProtocol.readMessageBegin(TBinaryProtocol.java:*),30
55f19581,should,23
991350b8,Built File: *,25
477de2be,out after *,29
ec3bda1b,at org.apache.hadoop.http.NoCacheFilter.doFilter(NoCacheFilter.java:*),24
76b2ed2c,storage.BlockManager: Found block broadcast* locally,19
84f96f12,at org.apache.spark.rdd.HadoopRDD.getPartitions(HadoopRDD.scala:*),25
86345dc5,"* *,*,* *,*,*",26
0650f17c,",,, ,,, flow null * null null null",193
8887fe3e,Version: *.*,21
4ef9124b,at org.apache.hive.jdbc.HiveDriver.connect(HiveDriver.java:*),25
3af663b3,at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:*),31
1dc04205,at org.apache.maven.wagon.AbstractWagon.getTransfer(AbstractWagon.java:*),16
99b07fab,pig.ExecTypeProvider: ExecType,25
966e3f4f,: optimizer.SortedDynPartitionOptimizer: Sorted dynamic partitioning optimization kicked in..,27
ee446c50,Scanning for projects,23
4c4a3777,namenode.FSEditLogLoader (FSEditLogLoader.java:loadEditRecords(*)) replaying edit log: */* transactions completed. (*),22
292fcaed,diagnostics: N/A,25
d4cbcb13,at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:*),25
73b3f521,Streaming Command Failed!,28
855ee6a2,Successfully * records,18
88f2bace,at org.apache.thrift.transport.TSocket.open(TSocket.java:*),31
1d0009ed,at org.apache.hadoop.mapreduce.lib.jobcontrol.ControlledJob.submit(ControlledJob.java:*),20
5db79be1,java.lang.RuntimeException: The root scratch dir:* Current permissions are:,31
e20c0676,* SecondaryNameNode,26
9008de81,NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL,122
4f260366,at org.apache.hadoop.mapred.TaskTracker.localizeJob(TaskTracker.java:*),26
01b6e203,to,38
92ddb3da,at org.apache.hive.jdbc.HiveStatement.execute(HiveStatement.java:*),37
b2816170,at org.apache.hive.jdbc.HiveStatement.executeQuery(HiveStatement.java:*),19
811d5028,at org.apache.spark.serializer.JavaDeserializationStream.readObject(JavaSerializer.scala:*),25
736e12a9,at org.apache.hadoop.ipc.Client.getRpcResponse(Client.java:*),21
336cc63f,at org.apache.thrift.TServiceClient.receiveBase(TServiceClient.java:*),29
33e8c7ac,Found * items,60
61798c49,* M,24
3d88ed3f,took *ms,23
0998c0ee,from *,31
e6156cd6,at org.apache.hadoop.mapred.TaskRunner.run(TaskRunner.java:*),57
8d0831d8,Connection reset by,47
6204f77e,Cannot create directory,24
ae5478f6,string from deserializer,37
27450990,Elephant Bird SKIPPED,41
0b209e91,at org.apache.hadoop.mapred.TaskTracker.initializeJob(TaskTracker.java:*),22
f3519bbf,"reference to `invokeMethod(JNIEnv*, jvalue*, jthrowable**, MethType,",79
dfa4231b,for client,27
782f9ab1,at org.apache.spark.rdd.RDD.partitions(RDD.scala:*),74
9e2d32df,at org.apache.maven.lifecycle.internal.LifecycleStarter.execute (LifecycleStarter.java:*),22
c4fb995d,at sun.launcher.LauncherHelper.checkAndLoadMain(LauncherHelper.java:*),24
4e9098b9,at py*j.Gateway.invoke(Gateway.java:*),29
3e2e00f6,at org.apache.hadoop.fs.FileContext.getFileContext(FileContext.java:*),143
802c4ee4,at org.apache.hadoop.hive.ql.parse.HiveParser.execStatement(HiveParser.java:*),21
ca1a1aeb,at org.apache.hadoop.hive.ql.parse.HiveParser.statement(HiveParser.java:*),28
b6f6e3bd,at org.apache.hadoop.hive.ql.parse.ParseDriver.parse(ParseDriver.java:*),45
b7b13167,at org.apache.hadoop.hive.ql.Driver.compileInternal(Driver.java:*),31
b8d22055,at org.apache.maven.plugin.DefaultBuildPluginManager.executeMojo(DefaultBuildPluginManager.java:*),27
99689525,at org.apache.hadoop.mapreduce.JobSubmitter.checkSpecs(JobSubmitter.java:*),28
28b3bdde,at org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:*),36
b21136bd,Master: Launching executor app***.**,18
b0162461,drwxrxrx supergroup * *** *:*,118
4391140d,for our AM container,47
d31957f4,at org.apache.hadoop.yarn.util.FSDownload.call(FSDownload.java:*),39
1b79559a,at org.apache.hive.jdbc.HiveConnection.openTransport(HiveConnection.java:*),25
8afcfbcf,at org.apache.hadoop.conf.Configuration.get(Configuration.java:*),21
2d79c04f,Task has completed successfully.,28
e9ef025c,org.apache.hadoop.util.RunJar.run(RunJar.java:*) at,32
b6e8586d,at org.apache.hadoop.examples.ExampleDriver.main(ExampleDriver.java:*),29
a1e98eb1,at com.sun.jersey.server.impl.uri.rules.SubLocatorRule.accept(SubLocatorRule.java:*),19
24770959,* kB,37
d8946df4,at java.io.ObjectInputStream.readOrdinaryObject(ObjectInputStream.java:*),50
53f497a1,at java.io.ObjectInputStream.readObject(ObjectInputStream.java:*),28
622e8343,at java.io.ObjectInputStream.defaultReadFields(ObjectInputStream.java:*),35
f087d871,at org.apache.hadoop.mapreduce.lib.output.FileOutputFormat.checkOutputSpecs(FileOutputFormat.java:*),25
a607b09d,version *.*,31
2297aec5,at org.apache.hadoop.mapreduce.TaskInputOutputContext.write(TaskInputOutputContext.java:*),30
84584a79,at sun.nio.ch.Net.bind(Net.java:*),33
b3788fc4,hdfs.DFSClient: Caught exception,25
fd7e4a12,Driver stacktrace:,26
1344a77c,Mahout SKIPPED,31
e6132e8b,Ambari,31
6a468a62,at org. apache java: *),30
a728d57c,at org.apache.hadoop.mapreduce.task.MapContextImpl.nextKeyValue(MapContextImpl.java:*),28
cd6ab112,at org.apache.gora.store.DataStoreFactory.createDataStore(DataStoreFactory.java:*),19
cf1e8c14,server,28
97e532fd,at org.apache.hadoop.fs.FileSystem.open(FileSystem.java:*),30
73c1025b,at java.lang.Class.getMethod*(Class.java:*),28
9e56413d,at com.sun.security.sasl.gsskerb.GssKrb*Client.evaluateChallenge(GssKrb*Client.java:*),24
a156a643,cannot,23
adce657d,* process information unavailable,38
742b153a,org.apache.hadoop.mapred.JobTracker: task 'attempt**m**',45
5cd9b306,at org.apache.hadoop.mapreduce.v*.app.MRAppMaster.initAndStartAppMaster(MRAppMaster.java:*),19
f2ab9799,at org.apache.hadoop.mapreduce.v*.app.MRAppMaster.main(MRAppMaster.java:*),25
cb9a0837,#* Mar * (InputStreamReaderRunnable.java:run:*): Stream spark:,40
a9079231,: Registering as a class,72
0bee14f2,C:\Users\anant\AppData\Local\Temp\cc*LXDc.o:test*.cpp:(.text+*x*): undefined,30
d5f2d96e,cygpath: can't convert empty path,24
187589ec,*: request,30
c7509355,Exception while,30
cfea2c7a,to class,30
55263952,at (MavenCli.java:*),40
615fd29c,at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:*),16
054c784e,at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:*),26
00067581,at org.apache.kylin.job.execution.AbstractExecutable.execute(AbstractExecutable.java:*),21
07e01702,. SUCCESS,105
e7ba67ea,at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:*),21
a574c4bc,at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.checkLease(FSNamesystem.java:*),23
4ac370e0,at org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapBase.map(PigGenericMapBase.java:*),24
d95e719f,at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:*),41
499205fd,at employee.loadFromFields(employee.java:*),20
1599fa45,at sun.reflect.DelegatingMethodAccessorImpl.invoke (DelegatingMethodAccessorImpl.java:*),22
31244079,* common frames omitted,24
42772b77,Merger Merging * sorted segments,28
e51266a3,in handle(),23
d65fcd35,at org.apache.spark.rdd.RDD.withScope(RDD.scala:*),50
2fe683da,for and,24
bcebf21a,"org.apache.pig.builtin., org.apache.pig.impl.builtin.]",25
36cd38f4,source,17
e1d50330,at org.apache.sqoop.mapreduce.TextExportMapper.map(TextExportMapper.java:*),64
9a88b5fe,at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:*),20
c496265a,at org.apache.spark.scheduler.DAGScheduler.abortStage(DAGScheduler.scala:*),27
15bf41ce,at org.codehaus.janino.UnitCompiler.compile*(UnitCompiler.java:*),22
cc50dfff,at io.netty.channel.AbstractChannelHandlerContext.invokeFlush(AbstractChannelHandlerContext.java:*),24
d08e4699,db*a: at gnu.java.lang.MainThread.run(libgcj.so.*rh),37
7743b2b9,at com.google.inject.servlet.FilterChainInvocation.doFilter(FilterChainInvocation.java:*),22
ded6511c,at org.apache.thrift.transport.TSaslClientTransport.open(TSaslClientTransport.java:*),18
66d1cf1f,containerPort: *,29
4aa5393d,debug*: received,20
c436bdba,debug*: Next authentication method:,18
07f6e7f0,in doFilter(),25
994d2a7a,at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:*),28
cc039896,at org.apache.hadoop.hive.ql.exec.Operator.initialize(Operator.java:*),42
e33c8432,db*a: at java.lang.ClassLoader.loadClass(libgcj.so.*rh),32
cd707e6c,mapreduce.ImportJobBase: Beginning import of,16
503dee74,at org.apache.hadoop.fs.shell.Command.run(Command.java:*),21
d336fd45,at org.apache.hadoop.hdfs.server.namenode.INodeFile.valueOf(INodeFile.java:*),23
6fc66b4d,at org.apache.nutch.crawl.InjectorJob.run(InjectorJob.java:*),29
4f2995f6,* down,30
9a6415cf,at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.java:*),16
c4d28432,* import,41
d01bd0d9,Hit *,68
2ddf686a,at org.apache.hive.jdbc.HiveQueryResultSet.next(HiveQueryResultSet.java:*),17
6c3e226b,NULL,24
52123da4,checking yes,36
ffd230e2,exited: zookeeper (exit status *; not expected),18
1cd269f9,Chapter *: SUCCESS,28
2b006c6e,*** PDT Spark* at,38
30c91a47,seekvideo NULL * *,30
96f0a089,"*, char const*, char const*, char const*, )'",53
